Code,DistrictElectoralArea,ClosestED,RouteLength_km,Population
N10000101,AIRPORT,Antrim Area Hospital,12.65,"22,029"
N10000102,ANTRIM,Antrim Area Hospital,2.41,"23,950"
N10000103,BALLYCLARE,Mater Hospital,18.17,"19,069"
N10000104,DUNSILLY,Antrim Area Hospital,7.9,"17,997"
N10000105,GLENGORMLEY URBAN,Mater Hospital,8.12,"21,639"
N10000106,MACEDON,Mater Hospital,8.91,"20,323"
N10000107,THREE MILE WATER,Mater Hospital,12.05,"20,653"
N10000201,ARMAGH,Craigavon Area Hospital,28.05,"32,405"
N10000202,BANBRIDGE,Daisy Hill Hospital,21.17,"34,940"
N10000203,CRAIGAVON,Craigavon Area Hospital,7.85,"29,188"
N10000204,CUSHER,Daisy Hill Hospital,19.63,"26,195"
N10000205,LAGAN RIVER,Craigavon Area Hospital,23.36,"24,804"
N10000206,LURGAN,Craigavon Area Hospital,11.61,"38,198"
N10000207,PORTADOWN,Craigavon Area Hospital,9.17,"32,926"
N10000301,BALMORAL,Royal Victoria Hospital,6.22,"24,491"
N10000302,BLACK MOUNTAIN,Royal Victoria Hospital,4.31,"35,880"
N10000303,BOTANIC,Royal Victoria Hospital,2.99,"49,727"
N10000304,CASTLE,Mater Hospital,3.32,"33,677"
N10000305,COLLIN,Royal Victoria Hospital,6.36,"33,909"
N10000306,COURT,Royal Victoria Hospital,2.88,"33,475"
N10000307,LISNASHARRAGH,Mater Hospital,5.55,"29,170"
N10000308,OLDPARK,Mater Hospital,3.7,"34,352"
N10000309,ORMISTON,Ulster Hospital,2.22,"34,615"
N10000310,TITANIC,Mater Hospital,4.19,"36,122"
N10000401,BALLYMONEY,Causeway Area Hospital,21.11,"24,519"
N10000402,BANN,Causeway Area Hospital,13.96,"17,535"
N10000403,BENBRADAGH,Altnagelvin,30.86,"17,818"
N10000404,CAUSEWAY,Causeway Area Hospital,12.51,"24,542"
N10000405,COLERAINE,Causeway Area Hospital,1.06,"23,625"
N10000406,LIMAVADY,Causeway Area Hospital,18.06,"16,230"
N10000407,THE GLENS,Causeway Area Hospital,31.75,"17,477"
N10000501,BALLYARNETT,Altnagelvin,11.46,"25,252"
N10000502,DERG,South West Acute Hospital,44.24,"17,809"
N10000503,FAUGHAN,Altnagelvin,4.28,"19,234"
N10000504,FOYLESIDE,Altnagelvin,6.55,"17,568"
N10000505,SPERRIN,Altnagelvin,24.42,"24,720"
N10000506,THE MOOR,Altnagelvin,6.78,"17,128"
N10000507,WATERSIDE,Altnagelvin,0.47,"29,045"
N10000601,ENNISKILLEN,South West Acute Hospital,0.84,"18,451"
N10000602,ERNE EAST,South West Acute Hospital,28.26,"15,944"
N10000603,ERNE NORTH,South West Acute Hospital,14.98,"15,083"
N10000604,ERNE WEST,South West Acute Hospital,14.7,"14,661"
N10000605,MID TYRONE,South West Acute Hospital,51.29,"17,590"
N10000606,OMAGH,South West Acute Hospital,39.96,"18,480"
N10000607,WEST TYRONE,South West Acute Hospital,30.22,"16,603"
N10000701,CASTLEREAGH EAST,Ulster Hospital,6.78,"21,899"
N10000702,CASTLEREAGH SOUTH,Royal Victoria Hospital,11.15,"23,488"
N10000703,DOWNSHIRE EAST,Royal Victoria Hospital,20.07,"16,746"
N10000704,DOWNSHIRE WEST,Royal Victoria Hospital,20.48,"17,190"
N10000705,KILLULTAGH,Royal Victoria Hospital,16.97,"22,013"
N10000706,LISBURN NORTH,Royal Victoria Hospital,9.81,"23,449"
N10000707,LISBURN SOUTH,Royal Victoria Hospital,14.95,"24,321"
N10000801,BALLYMENA,Antrim Area Hospital,17.92,"24,295"
N10000802,BANNSIDE,Antrim Area Hospital,25.65,"19,842"
N10000803,BRAID,Antrim Area Hospital,23.03,"23,826"
N10000804,CARRICK CASTLE,Mater Hospital,20.92,"18,430"
N10000805,COAST ROAD,Mater Hospital,45.04,"17,005"
N10000806,KNOCKAGH,Mater Hospital,20.74,"17,272"
N10000807,LARNE LOUGH,Mater Hospital,28.03,"18,324"
N10000901,CARNTOGHER,Causeway Area Hospital,35.6,"17,167"
N10000902,CLOGHER VALLEY,South West Acute Hospital,48.85,"21,997"
N10000903,COOKSTOWN,Craigavon Area Hospital,45.43,"24,617"
N10000904,DUNGANNON,Craigavon Area Hospital,25.8,"25,640"
N10000905,MAGHERAFELT,Antrim Area Hospital,43.02,"19,266"
N10000906,MOYOLA,Antrim Area Hospital,39.83,"18,586"
N10000907,TORRENT,Craigavon Area Hospital,31.48,"23,020"
N10001001,CROTLIEVE,Daisy Hill Hospital,9.47,"28,668"
N10001002,DOWNPATRICK,Ulster Hospital,47.86,"21,916"
N10001003,NEWRY,Daisy Hill Hospital,4.5,"27,913"
N10001004,ROWALLANE,Ulster Hospital,23.33,"21,240"
N10001005,SLIEVE CROOB,Royal Victoria Hospital,35.95,"21,387"
N10001006,SLIEVE GULLION,Daisy Hill Hospital,14.28,"30,744"
N10001007,THE MOURNES,Daisy Hill Hospital,25.12,"30,203"
N10001101,ARDS PENINSULA,Ulster Hospital,23.33,"24,964"
N10001102,BANGOR CENTRAL,Ulster Hospital,14.98,"26,637"
N10001103,BANGOR EAST AND DONAGHADEE,Ulster Hospital,18.67,"22,850"
N10001104,BANGOR WEST,Ulster Hospital,11.21,"19,517"
N10001105,COMBER,Ulster Hospital,11.36,"19,487"
N10001106,HOLYWOOD AND CLANDEBOYE,Ulster Hospital,6.57,"20,809"
N10001107,NEWTOWNARDS,Ulster Hospital,6.82,"29,395"
