DZCode,DataZoneArea,ClosestED,RouteLength_km,Population
N20000001,Dunsilly_A1,Antrim Area Hospital,10.56,738
N20000002,Dunsilly_B1,Antrim Area Hospital,22.49,331
N20000003,Dunsilly_A2,Antrim Area Hospital,15.67,365
N20000004,Dunsilly_A3,Antrim Area Hospital,15.98,663
N20000005,Dunsilly_B2,Antrim Area Hospital,19.04,676
N20000006,Dunsilly_A4,Antrim Area Hospital,8.16,464
N20000007,Dunsilly_C1,Antrim Area Hospital,20.28,880
N20000008,Dunsilly_A5,Antrim Area Hospital,12.23,642
N20000009,Dunsilly_A6,Antrim Area Hospital,15.13,401
N20000010,Dunsilly_B3,Antrim Area Hospital,5.97,544
N20000011,Dunsilly_D1,Antrim Area Hospital,11.75,525
N20000012,Dunsilly_D2,Antrim Area Hospital,11.79,503
N20000013,Dunsilly_F1,Antrim Area Hospital,19.36,407
N20000014,Dunsilly_D3,Antrim Area Hospital,11.33,506
N20000015,Dunsilly_C2,Antrim Area Hospital,21.19,586
N20000016,Dunsilly_E1,Antrim Area Hospital,10.95,453
N20000017,Dunsilly_E2,Antrim Area Hospital,11.02,674
N20000018,Dunsilly_E3,Antrim Area Hospital,11.27,486
N20000019,Dunsilly_D4,Antrim Area Hospital,11.00,393
N20000020,Dunsilly_D5,Antrim Area Hospital,11.40,562
N20000021,Dunsilly_E4,Antrim Area Hospital,9.89,545
N20000022,Dunsilly_C3,Antrim Area Hospital,20.26,441
N20000023,Dunsilly_D6,Antrim Area Hospital,11.67,502
N20000024,Dunsilly_C4,Antrim Area Hospital,20.66,620
N20000025,Dunsilly_F2,Antrim Area Hospital,4.31,415
N20000026,Dunsilly_B4,Antrim Area Hospital,12.55,554
N20000027,Dunsilly_F3,Antrim Area Hospital,4.11,558
N20000028,Dunsilly_F4,Antrim Area Hospital,14.26,550
N20000029,Dunsilly_F5,Antrim Area Hospital,8.00,552
N20000030,Dunsilly_B5,Mater Hospital,20.76,496
N20000031,Dunsilly_B6,Antrim Area Hospital,9.74,531
N20000032,Dunsilly_F6,Antrim Area Hospital,13.92,459
N20000033,Dunsilly_F7,Antrim Area Hospital,18.97,536
N20000034,Dunsilly_F8,Antrim Area Hospital,16.72,439
N20000035,Antrim_A1,Antrim Area Hospital,21.59,671
N20000036,Antrim_A2,Antrim Area Hospital,1.92,374
N20000037,Antrim_A3,Antrim Area Hospital,2.82,423
N20000038,Antrim_B1,Antrim Area Hospital,0.63,628
N20000039,Antrim_B2,Antrim Area Hospital,2.26,499
N20000040,Antrim_A4,Antrim Area Hospital,2.90,371
N20000041,Antrim_C1,Antrim Area Hospital,3.45,931
N20000042,Antrim_B3,Antrim Area Hospital,1.45,661
N20000043,Antrim_D1,Antrim Area Hospital,2.38,820
N20000044,Antrim_C2,Antrim Area Hospital,4.53,493
N20000045,Antrim_C3,Antrim Area Hospital,3.77,466
N20000046,Antrim_D2,Antrim Area Hospital,2.13,570
N20000047,Antrim_D3,Antrim Area Hospital,2.15,516
N20000048,Antrim_C4,Antrim Area Hospital,3.68,562
N20000049,Antrim_G1,Antrim Area Hospital,3.13,554
N20000050,Antrim_E1,Antrim Area Hospital,2.77,425
N20000051,Antrim_F1,Antrim Area Hospital,3.18,493
N20000052,Antrim_F2,Antrim Area Hospital,3.79,501
N20000053,Antrim_E2,Antrim Area Hospital,2.86,408
N20000054,Antrim_D4,Antrim Area Hospital,2.41,517
N20000055,Antrim_E3,Antrim Area Hospital,3.04,336
N20000056,Antrim_E4,Antrim Area Hospital,3.05,483
N20000057,Antrim_G2,Antrim Area Hospital,3.01,465
N20000058,Antrim_H1,Antrim Area Hospital,3.41,415
N20000059,Antrim_F3,Antrim Area Hospital,3.39,413
N20000060,Antrim_J1,Antrim Area Hospital,3.25,355
N20000061,Antrim_H2,Antrim Area Hospital,3.41,382
N20000062,Antrim_H3,Antrim Area Hospital,3.73,597
N20000063,Antrim_G3,Antrim Area Hospital,4.10,354
N20000064,Antrim_J2,Antrim Area Hospital,4.09,391
N20000065,Antrim_J3,Antrim Area Hospital,4.18,491
N20000066,Antrim_K1,Antrim Area Hospital,3.99,325
N20000067,Antrim_K2,Antrim Area Hospital,3.99,521
N20000068,Antrim_G4,Antrim Area Hospital,4.20,423
N20000069,Antrim_L1,Antrim Area Hospital,3.96,461
N20000070,Antrim_J4,Antrim Area Hospital,4.25,426
N20000071,Antrim_G5,Antrim Area Hospital,4.38,337
N20000072,Antrim_L2,Antrim Area Hospital,4.26,559
N20000073,Antrim_F4,Antrim Area Hospital,4.45,473
N20000074,Antrim_K3,Antrim Area Hospital,4.27,468
N20000075,Antrim_L3,Antrim Area Hospital,5.10,432
N20000076,Antrim_N1,Antrim Area Hospital,4.75,373
N20000077,Antrim_N2,Antrim Area Hospital,4.70,306
N20000078,Antrim_F5,Antrim Area Hospital,4.58,324
N20000079,Antrim_K4,Antrim Area Hospital,4.61,387
N20000080,Antrim_J5,Antrim Area Hospital,5.21,633
N20000081,Antrim_N3,Antrim Area Hospital,4.90,334
N20000082,Antrim_K5,Antrim Area Hospital,5.27,452
N20000083,Antrim_N4,Antrim Area Hospital,4.88,270
N20000084,Antrim_N5,Antrim Area Hospital,5.00,288
N20000085,Antrim_L4,Antrim Area Hospital,5.17,594
N20000086,Ballyclare_F1,Mater Hospital,20.10,611
N20000087,Ballyclare_A1,Antrim Area Hospital,19.70,473
N20000088,Ballyclare_F2,Mater Hospital,20.68,485
N20000089,Ballyclare_F3,Mater Hospital,19.50,680
N20000090,Ballyclare_B1,Antrim Area Hospital,17.87,804
N20000091,Ballyclare_A2,Antrim Area Hospital,22.02,509
N20000092,Ballyclare_B2,Antrim Area Hospital,17.67,802
N20000093,Ballyclare_B3,Antrim Area Hospital,17.70,408
N20000094,Ballyclare_B4,Antrim Area Hospital,17.90,427
N20000095,Ballyclare_C1,Antrim Area Hospital,17.43,397
N20000096,Ballyclare_A3,Antrim Area Hospital,22.47,582
N20000097,Ballyclare_B5,Antrim Area Hospital,17.51,574
N20000098,Ballyclare_D1,Antrim Area Hospital,17.12,383
N20000099,Ballyclare_A4,Antrim Area Hospital,22.58,464
N20000100,Ballyclare_F4,Mater Hospital,18.95,705
N20000101,Ballyclare_D2,Mater Hospital,18.23,463
N20000102,Ballyclare_D3,Mater Hospital,17.92,475
