Code,SuperDataZoneArea,ClosestED,RouteLength_km,Population
N21000001,Dunsilly_A,Antrim Area Hospital,10.12,"3,272"
N21000002,Dunsilly_B,Antrim Area Hospital,15.79,"3,132"
N21000003,Dunsilly_C,Antrim Area Hospital,21.11,"2,527"
N21000004,Dunsilly_D,Antrim Area Hospital,11.27,"2,991"
N21000005,Dunsilly_E,Antrim Area Hospital,10.87,"2,160"
N21000006,Dunsilly_F,Antrim Area Hospital,12.97,"3,916"
N21000007,Antrim_A,Antrim Area Hospital,1.94,"1,837"
N21000008,Antrim_B,Antrim Area Hospital,1.05,"1,791"
N21000009,Antrim_C,Antrim Area Hospital,4.38,"2,452"
N21000010,Antrim_D,Antrim Area Hospital,2.28,"2,423"
N21000011,Antrim_E,Antrim Area Hospital,2.89,"1,651"
N21000012,Antrim_F,Antrim Area Hospital,4.35,"2,203"
N21000013,Antrim_G,Antrim Area Hospital,3.97,"2,133"
N21000014,Antrim_H,Antrim Area Hospital,3.52,"1,394"
N21000015,Antrim_J,Antrim Area Hospital,4.22,"2,296"
N21000016,Antrim_K,Antrim Area Hospital,4.24,"2,150"
N21000017,Antrim_L,Antrim Area Hospital,5.23,"2,043"
N21000018,Antrim_N,Antrim Area Hospital,4.98,"1,571"
N21000019,Ballyclare_A,Antrim Area Hospital,20.18,"2,028"
N21000020,Ballyclare_B,Antrim Area Hospital,17.66,"3,014"
N21000021,Ballyclare_C,Antrim Area Hospital,16.67,"2,361"
N21000022,Ballyclare_D,Mater Hospital,17.79,"2,538"
N21000023,Ballyclare_E,Antrim Area Hospital,15.79,"2,936"
N21000024,Ballyclare_F,Mater Hospital,17.04,"3,187"
N21000025,Ballyclare_G,Antrim Area Hospital,13.79,"1,404"
N21000026,Ballyclare_H,Mater Hospital,15.32,"1,600"
N21000027,Three_Mile_Water_A,Mater Hospital,12.15,"2,217"
N21000028,Three_Mile_Water_B,Mater Hospital,11.94,"1,359"
N21000029,Three_Mile_Water_C,Mater Hospital,11.7,"2,052"
N21000030,Three_Mile_Water_D,Mater Hospital,11.17,"1,959"
N21000031,Three_Mile_Water_E,Mater Hospital,11.23,"2,520"
N21000032,Three_Mile_Water_F,Mater Hospital,10.75,"1,898"
N21000033,Three_Mile_Water_G,Mater Hospital,10.44,"2,796"
N21000034,Three_Mile_Water_H,Mater Hospital,11.37,"2,269"
N21000035,Three_Mile_Water_J,Mater Hospital,11.46,"1,461"
N21000036,Three_Mile_Water_K,Mater Hospital,9.96,"2,122"
N21000037,Macedon_A,Mater Hospital,9.33,"1,669"
N21000038,Macedon_B,Mater Hospital,9.08,"2,078"
N21000039,Macedon_C,Mater Hospital,8.88,"2,211"
N21000040,Macedon_D,Mater Hospital,8.76,"1,785"
N21000041,Macedon_E,Mater Hospital,8.65,"1,677"
N21000042,Macedon_F,Mater Hospital,8.15,"1,672"
N21000043,Macedon_G,Mater Hospital,7.68,"1,898"
N21000044,Macedon_H,Mater Hospital,7.24,"1,306"
N21000045,Macedon_J,Mater Hospital,7.93,"2,049"
N21000046,Macedon_K,Mater Hospital,7.36,"1,888"
N21000047,Macedon_L,Mater Hospital,6.77,"2,090"
N21000048,Glengormley_Urban_A,Mater Hospital,9.89,"1,502"
N21000049,Glengormley_Urban_B,Mater Hospital,10.46,"2,081"
N21000050,Glengormley_Urban_C,Mater Hospital,10.17,"2,325"
N21000051,Glengormley_Urban_D,Mater Hospital,10.21,"2,143"
N21000052,Glengormley_Urban_E,Mater Hospital,8.98,"1,683"
